,rmse_train_y0,rmse_train_y1,rmse_test_y0,rmse_test_y1,rmse_train_spectral_y0,rmse_train_spectral_y1,rmse_test_spectral_y0,rmse_test_spectral_y1,objective_y0,objective_y1
0,0.00239672857159928,0.0028009153363530727,0.1782077390822616,0.2602860313953371,0.10930358394261555,0.8618436586423488,0.22066520171080475,0.8997640966366522,46.10712802235808,44.30702338825369
1,0.0025541225174027745,0.0028008883141937614,0.1762222837677833,0.2602864946732744,0.09406442310670152,0.9056209002964065,0.2672015412826641,1.0216131959751684,53.28155838698292,44.30702339495526
2,0.002396729151818394,0.0028009136191755684,0.1782078335462268,0.2602864131822919,0.09600694304932705,0.8823595467407418,0.22519446237411941,1.0348657351346067,46.107128022222156,44.30702338817725
3,0.0023967320684916524,0.0028009051347779148,0.1782077365576733,0.26028616422956946,0.0971167457404649,0.8653936478975549,0.2805612306195307,1.0593883603616228,46.107128022116655,44.307023388276995
4,0.0023967356015194836,0.00280092784549182,0.1782077725402637,0.2602881428958813,0.07771483045862543,0.8745783567509324,0.3029973781649687,1.0737681553629812,46.10712802211286,44.30702339865161
5,0.002396732700487983,0.002800914649584779,0.17820771504900146,0.2602863260964604,0.11665780923364917,0.8652842304904743,0.27290286046581397,0.9643583566294193,46.1071280222082,44.307023388429904
6,0.002396674049862903,0.0028009096374788504,0.1782083219695028,0.26028817841506197,0.08747039245670289,0.8680482539104791,0.24823670644719184,0.9619631946470065,46.10712803338987,44.30702340362053
7,0.002396710082865535,0.003023403702970029,0.17820819584946473,0.2538600721759,0.1023171918244976,0.8863236237044916,0.22892250622543947,0.9541500143048917,46.107128027570866,51.53731957986594
8,0.0023967282889315695,0.0028008576400962355,0.17820760315621972,0.26028647824814327,0.0815822639659009,0.8696342608259777,0.2339394363545513,0.9362873548565661,46.107128025675024,44.30702339691576
9,0.002396730071732103,0.0028009170021378567,0.17820774482586293,0.2602863095313672,0.09488231045695139,0.8354875032631268,0.2877056847036122,1.002753729201382,46.10712802384664,44.30702338821837
