case,avg_fit_time,avg_score_time,avg_val_r2,avg_val_neg_root_mean_squared_error,avg_test_r2,avg_test_neg_root_mean_squared_error
one-hot,3.535422945022583,0.0018382549285888671,0.7885762443951967,-0.1828158438205719,0.8784990184881403,-0.13178804204825675
descriptors,3.520027923583984,0.0021105289459228517,0.8410473186245367,-0.16089824438095093,0.9011444270426143,-0.12116910725437406
