stenutz_name,cosmo_name,cas_number,chemical_formula,molecular_weight,density,molar_volume,refractive_index,molecular_refractive_power,dielectric_constant,dipole_moment,melting_point,boiling_point,viscosity,partition_coefficient,vapour_pressure,sigma_1,sigma_2,sigma_3,sigma_4,sigma_5
diethyl disulfide,diethyldisulfide,110-81-6,C4H10S2,122,0.988,123.7,1.507,36.82,15.9,2.01,-102,152,0.71,3.09,5.79,0.0239,16.0465,0.271,0,2.185
diethyl oxalate,ethyloxalat,95-92-1,C6H10O4,146,1.079,135.4,1.41,33.56,8.1,2.54,-40,183,1.53,1.3,0.44,0.2249,16.0048,2.8,0,4.9522
diethyl propanedioate,diethylmalonate,105-53-3,C7H12O4,160,1.055,151.8,1.414,37.94,7.87,2.57,-50,197,2.66,1.4,0.04,0.5999,17.2441,3.0361,0,5.0483
diethyl sulfide,diethylsulfide,352-93-2,C4H10S,90,0.835,108,1.442,28.58,7.2,1.52,-104,91,0.45,2.19,80.99,0,13.1209,0.8385,0,1.7231
diethylamine,diethylamine,109-89-7,C4H11N,73,0.702,104.2,1.386,24.49,3.92,0.92,-50,55,0.42,1.8,318.2,0.2338,12.4684,0.6598,0,0.9019
diethylene glycol,diethyleneglycol,111-46-6,C4H10O3,106,1.118,94.9,1.445,25.26,31.7,2.31,-8,245,19.33,-0.95,0.03,0.8662,11.3566,2.4605,0.2841,3.3655
diiodomethane,diiodomethane,75-11-6,CH2I2,268,3.322,80.6,1.74,32.52,5.3,1.15,6,181,0.84,1.99,2.21,1.2379,11.3055,0,0,2.5828
diisopropyl sulfide,"2,4-dimethyl-3-thiapentane",625-80-9,C6H14S,118,0.814,145.3,1.439,38.17,5.81,1.67,-106,120,0.67,3.11,10.71,0,16.5499,0.8399,0,1.2843
diisopropylamine,diisopropylamine,108-18-9,C6H15N,101,0.71,142.5,1.392,33.94,3.04,1.2,-61,84,0.53,2.79,45.99,0.1495,15.7875,0.5737,0,0.9438
dimethoxymethane,dimethoxymethane,109-87-5,C3H8O2,76,0.86,88.5,1.353,19.19,2.7,0.91,-105,42,0.38,0.41,395.84,0,10.2978,1.6114,0,2.3809
dimethyl disulfide,dimethyldisulfide,624-92-0,C2H6S2,94,1.056,89.2,1.525,27.34,9.77,1.99,-85,110,0.52,2.05,28.69,0.1069,12.4124,0.3556,0,2.8412
dimethyl phthalate,dimethylphthalate,131-11-3,C10H10O4,194,1.19,163.2,1.515,49.21,8.5,2.66,2,283,7.37,1.71,0,0.3044,19.1753,2.5594,0,5.979
dimethyl propanedioate,dimethylmalonate,108-59-8,C5H8O4,132,1.119,118.1,1.42,29.88,10.3,1.52,-62,179,2.03,0.52,0.46,0.6548,13.3734,2.7548,0,5.5246
dimethyl sulfate,dimethylsulfate,77-78-1,C2H6O4S,126,1.322,95.4,1.386,22.41,50.28,4.02,-32,188,0.96,1.34,1.65,0.5846,12.315,1.0096,0,4.4447
dimethyl sulfide,dimethylsulfide,75-18-3,C2H6S,62,0.842,73.8,1.435,19.26,6.3,1.5,-83,38,0.3,1.24,625.9,0.0118,9.6228,0.7663,0,1.9914
dimethylcyanamide,dimethylcyanamide,1467-79-4,C3H6N2,70,0.88,79.7,1.41,19.73,37.23,4.77,-41,162,0.55,-1.04,4.23,0.1387,9.6752,1.9958,0,3.5131
dioxane,dioxane,123-91-1,C4H8O2,88,1.034,85.2,1.422,21.68,2.25,0.45,12,101,0.96,-0.15,22.56,0.0004,10.1766,1.864,0,2.8097
dipentyl ether,di-n-pentylether,693-65-2,C10H22O,158,0.785,201.6,1.412,50.17,3.1,1.2,-69,188,1.05,5.09,0.55,0,24.0219,0.9435,0,0.2419
diphenyl ether,diphenylether,101-84-8,C12H10O,170,1.08,157.6,1.579,52.38,3.9,1.17,25,257,5.66,3.85,0.01,0.1656,20.7733,0.2501,0,5.0603
diphenylmethane,diphenylmethane,101-81-5,C13H12,168,1.006,167.2,1.575,55.26,2.61,0.26,91,263,5.87,3.9,0.01,0.017,21.8831,0,0,4.5268
dipropyl ether,di-n-propylether,111-43-3,C6H14O,102,0.7,146,1.381,33.89,3.39,1.12,-122,90,0.32,3.02,32.37,0,16.1014,0.9422,0,0.3283
dipropylamine,dipropylamine,142-84-7,C6H15N,101,0.74,136.7,1.405,33.52,2.9,1.04,-63,245,0.41,2.94,32.87,0.2403,16.4054,0.6586,0,0.8277
dodecane,dodecane,112-40-3,C12H26,170,0.749,227.4,1.422,57.74,2,0.07,-10,216,1.53,7.04,0.28,0,27.6455,0,0,0.0757
ethanediol,glycol,107-21-1,C2H6O2,62,1.115,55.7,1.429,14.35,37.7,2.27,-13,198,13.55,-1.34,0.22,1.2765,6.4309,2.0458,0.5717,2.6165
ethanethiol,ethanethiol,75-08-1,C2H6S,62,0.862,72.1,1.432,18.69,6.9,1.57,-148,35,0.32,1.3,544.32,0.2593,9.3973,0.6953,0,1.8583
ethanol,ethanol,64-17-5,C2H6O,46,0.789,58.4,1.361,12.93,24.55,1.66,-114,78,2.47,-0.22,57.83,0.7431,6.9259,1.1499,0.3211,1.1177
ethoxybenzene,ethoxybenzene,103-73-1,C8H10O,122,0.967,126.3,1.507,37.6,4.22,1.41,-30,170,1.44,2.77,1.35,0.0367,16.5168,0.5445,0,3.4045
ethyl 2-hydroxypropanoate,2-hydroxypropanoicacidethylester,97-64-3,C5H10O3,118,1.03,114.7,1.415,28.72,13.1,2.55,-26,154,1.49,0.97,1.8,0.3218,13.6176,2.0548,0.0578,3.6179
ethyl 3-oxobutanoate,ethylacetoacetate,141-97-9,C6H10O3,130,1.028,126.6,1.419,31.97,15.7,2.96,-43,180,1.58,0.42,0.24,0.5574,14.2155,2.8626,0,5.0368
ethyl acetate,ethylacetate,141-78-6,C4H8O2,88,0.901,97.8,1.372,22.26,6.02,1.88,-84,77,0.46,0.78,71.18,0.0311,11.5144,1.7997,0,2.8923
ethyl benzoate,ethylbenzoate,93-89-0,C9H10O2,150,1.05,143,1.505,42.42,6,2,-34,212,2.04,2.63,0.14,0.0524,17.7262,1.4037,0,3.9299
ethyl butanoate,ethylbutyrate,105-54-4,C6H12O2,116,0.879,132.2,1.392,31.47,5.1,1.76,-93,120,0.67,1.92,10.2,0.0001,15.5816,1.6956,0,2.2944
ethyl chloroacetate,ethylchloroacetate,105-39-5,C4H7ClO2,123,1.159,105.7,1.421,26.81,12.78,2.65,-27,143,1.11,1.26,1.65,1.0723,12.7948,1.482,0,3.8942
ethyl cyanoacetate,cyanoaceticacidethylester,105-56-6,C5H7NO2,113,1.063,106.4,1.418,26.82,26.9,4.04,-23,207,2.32,-0.07,0.06,1.6505,11.8809,2.2567,0.0131,4.6796
ethyl formate,ethylformate,109-94-4,C3H6O2,74,0.917,80.8,1.359,17.78,8.4,1.94,-80,54,0.46,0.37,223.13,0.391,9.2733,1.6713,0,2.7459
ethyl hexanoate,ethylhexanoate,123-66-0,C8H16O2,144,0.871,165.6,1.407,40.76,4.57,1.6,-67,168,1.06,3.05,0.83,0.0028,19.5008,1.7207,0,2.2176
ethyl isothiocyanate,ethylisothiocyanate,542-85-8,C3H5NS,87,1,87.1,1.51,26.06,19.5,3.31,-5,131,0.49,1.95,30.39,0.0638,13.0398,0.0041,0,2.4722
ethyl nitrate,ethylnitrate,625-58-1,C2H5NO3,91,1.108,82.2,1.385,19.28,19.4,2.41,-95,88,0.35,2.01,396.32,0.4261,11.4197,0.1522,0,3.0909
ethyl propanoate,ethylpropionate,105-37-3,C5H10O2,102,0.892,114.5,1.384,26.77,5.65,1.74,-73,98,0.52,1.46,20.56,0.0014,13.5282,1.6981,0,2.5083
ethyl salicylate,ethyl-2-hydroxybenzoate,118-61-6,C9H10O3,166,1.131,146.9,1.522,44.81,8.6,2.88,1,233,2.07,3.3,0.04,0.2022,18.3231,1.2549,0,4.1312
ethyl thiocyanate,ethylthiocyanate,542-90-5,C3H5NS,87,1.012,86.1,1.462,23.67,29.3,3.64,-86,146,0.57,0.67,8.1,0.4207,11.0957,1.1099,0,2.6999
ethylbenzene,ethylbenzene,100-41-4,C8H10,106,0.867,122.5,1.493,35.59,2.41,0.58,-94,136,0.89,3.08,12.32,0.0058,15.8962,0,0,2.1279
ethynylbenzene,ethynylbenzene,536-74-3,C8H6,102,0.937,109,1.548,34.62,2.99,0.66,-45,143,1.25,2.51,3.06,0.6854,14.5332,0.0021,0.0517,3.5815
fluorobenzene,fluorobenzene,462-06-6,C6H5F,96,1.025,93.8,1.465,25.92,5.55,1.66,-40,85,0.62,2.15,80.44,0.1969,12.7311,0,0,3.0448
formamide,formamide,75-12-7,CH3NO,45,1.133,39.8,1.447,10.62,84,3.71,2,210,4.62,-2.69,0.07,1.8198,3.9541,1.9137,0.8508,2.1177
formic acid,formicacid,64-18-6,CH2O2,46,1.22,37.7,1.37,8.53,58.5,1.42,8,101,2.9,-0.9,17.02,1.5164,4.0381,1.6768,0.7389,1.5975
furan,1-ethynylcyclohexanol,110-00-9,C4H4O,68,0.936,72.7,1.42,18.41,2.9,0.69,-86,31,7.94,1.89,0.11,1.2608,14.4439,1.0574,0.3863,1.7282
furfural,furfural,98-01-1,C5H4O2,96,1.16,82.8,1.524,25.34,41.9,3.57,-37,162,1.55,0.13,1.33,1.1691,9.818,1.7496,0,3.55
heptanal,heptanal,111-71-7,C7H14O,114,0.85,134.4,1.426,34.42,9.07,2.56,-43,155,0.78,2.3,9.94,0.0051,16.7107,1.4102,0,2.1108
heptane,n-heptane,142-82-5,C7H16,100,0.684,146.6,1.388,34.55,1.92,0,-90,98,0.41,4.4,104.97,0,17.691,0,0,0.073
heptanol,1-heptanol,111-70-6,C7H16O,116,0.819,141.9,1.423,36.14,12.1,1.71,-35,176,6.39,2.57,0.46,0.7356,16.8774,1.1537,0.3197,0.9355
hexadecane,n-hexadecane,544-76-3,C16H34,226,0.77,294.1,1.435,76.74,2.05,0.06,18,287,4.62,9.15,0,0,35.6857,0,0,0.0796
hexafluorobenzene,hexafluorobenzene,392-56-3,C6F6,186,1.612,115.4,1.378,26.61,2.05,0,4,81,0.5,2.99,125.56,0.0323,16.2559,0,0,2.3237
hexamethylphosphoramide,hexamethylphosphoramide,680-31-9,C6H18N3OP,179,1.03,174,1.466,48.19,30,5.54,7,235,1.62,1.23,0.08,0,19.2414,1.7586,0,1.6013
hexane,hexane,110-54-3,C6H14,86,0.659,130.7,1.375,29.91,1.9,0.08,-95,69,0.31,3.86,354.19,0,15.6879,0,0,0.0716
hexanenitrile,hexanenitrile,628-73-9,C6H11N,97,0.805,120.7,1.407,29.71,17.26,3.48,-80,162,0.73,1.34,4.74,0.2902,14.5733,1.3671,0,2.2734
hexanoic acid,n-hexanoicacid,142-62-1,C6H12O2,116,0.92,126.3,1.416,31.7,2.63,1.13,-3,203,8.29,1.84,0.26,0.8965,14.4293,1.7832,0.6061,1.537
hexyl acetate,n-hexylacetate,142-92-7,C8H16O2,144,0.871,165.6,1.409,40.93,4.42,1.86,-80,169,1.27,2.94,0.79,0.0285,19.5349,1.7483,0,2.4229
hexylamine,hexylamine,111-26-2,C6H15N,101,0.766,132.1,1.418,33.29,4.08,1.32,-19,130,0.82,2.28,15.91,0.574,15.7369,0.8752,0,1.552
iodobenzene,iodobenzene,591-50-4,C6H5I,204,1.831,111.4,1.62,39.14,4.6,1.71,-29,188,1.48,2.81,0.6,0.1926,15.2122,0,0,3.4758
iodoethane,iodoethane,75-03-6,C2H5I,156,1.95,80,1.39,18.97,7.4,1.8,-111,72,0.4,1.78,91.79,0.0757,11.0207,0,0,2.0565
iodomethane,ch3i,74-88-4,CH3I,142,2.282,62.2,1.532,19.27,6.92,1.63,-67,42,0.33,1.3,274.76,0.224,8.9707,0,0,2.1611
isoprene,isoprene,78-79-5,C5H8,68,0.681,100,1.422,25.42,2.1,0.29,-144,34,0.27,2.39,972.46,0.0021,12.4398,0.0161,0,1.9607
isopropylamine,isopropylamine,75-31-0,C3H9N,59,0.694,85.2,1.377,19.6,5.5,1.19,-101,32,0.51,0.66,452.48,0.541,9.7231,0.8265,0,1.6352
isoquinoline,isoquinoline,119-65-3,C9H7N,129,1.097,117.7,1.622,41.47,10.7,2.73,26,242,2.67,1.55,0.15,0.1531,15.3469,0.9199,0,4.3063
methyl 2-hydroxybenzoate,2-hydroxy-benzoicacidmethylester,119-36-8,C8H8O3,152,1.174,129.6,1.537,40.47,9,2.47,-9,224,2.04,2.73,0.21,0.2779,16.4329,1.2158,0,4.4144
methyl 2-propenoate,methylacrylate,96-33-3,C4H6O2,86,0.951,90.5,1.408,22.33,7.12,1.75,-75,80,0.54,0.88,64.36,0.1518,11.0394,1.5991,0,3.3477
methyl acetate,methylacetate,79-20-9,C3H6O2,74,0.927,79.9,1.362,17.72,6.7,1.69,-98,57,0.43,0.22,189.3,0.0497,9.5197,1.7728,0,3.1625
methyl benzoate,methylbenzoate,93-58-3,C8H8O2,136,1.084,125.6,1.517,38.01,6.6,1.92,-13,200,2.01,2.09,0.32,0.0806,15.9463,1.3551,0,4.265
methyl butanoate,methylbutyrate,623-42-7,C5H10O2,102,0.898,113.7,1.387,26.78,5.5,1.72,-85,102,0.62,1.48,62.13,0.0118,13.5592,1.6683,0,2.5499
methyl decanoate,decanoicacidmethylester,110-42-9,C11H22O2,186,0.873,213.4,1.426,54.68,3.86,1.65,-18,228,3.08,4.66,0.04,0.013,25.4223,1.6855,0,2.5027
methyl dodecanoate,dodecanoicacidmethylester,111-82-0,C13H26O2,214,0.87,246.4,1.432,63.9,3.6,1.7,5,262,5.43,5.73,0,0.0122,29.4593,1.672,0,2.5085
methyl formate,methylformate,107-31-3,C2H4O2,60,0.98,61.3,1.343,12.95,8.5,1.77,-100,32,0.39,-0.15,1188.86,0.4884,7.1899,1.636,0,2.9514
methyl hexanoate,methylhexanoate,106-70-7,C7H14O2,130,0.885,147.1,1.405,36.05,4.7,1.7,-71,149,1.03,2.53,3.47,0.0128,17.4756,1.6657,0,2.5192
methyl octanoate,methyloctanoate,111-11-5,C9H18O2,158,0.878,180.2,1.417,45.32,4.13,1.67,-40,192,1.77,3.59,0.37,0.0123,21.436,1.6673,0,2.5152
methyl pentanoate,methylvalerate,624-24-8,C6H12O2,116,0.89,130.5,1.397,31.43,5.02,1.62,-91,127,0.78,2,10.22,0.0135,15.5346,1.6645,0,2.5138
methyl propanoate,methylpropionate,554-12-1,C4H8O2,88,0.915,96.3,1.377,22.15,6.23,1.67,-88,79,0.49,0.9,90.67,0.0129,11.5438,1.6721,0,2.7778
methyl thiocyanate,methylthiocyanate,556-64-9,C2H3NS,73,1.074,68.1,1.469,18.94,35,3.34,-5,131,0.54,0.15,11.96,0.7052,9.0461,1.0952,0,2.7086
methyl trichloroacetate,methyltrichloroacetate,598-99-2,C3H3Cl3O2,177,1.488,119.2,1.457,32.47,8.79,2.33,-18,152,0.87,2.65,2.5,0.2871,15.6261,0.7024,0,3.3487
methylbutane,methylbutane,78-78-4,C5H12,72,0.616,117.1,1.354,25.46,1.83,0.12,-160,28,0.22,3.2,1407.04,0,13.3177,0,0,0.0975
methylcyclohexane,methylcyclohexane,108-87-2,C7H14,98,0.77,127.5,1.423,32.47,2.02,0,-126,101,0.54,3.6,74.87,0,15.0454,0,0,0.0412
methylcyclopentane,methylcyclopentane,96-37-7,C6H12,84,0.751,112.1,1.41,27.76,1.99,0,-143,71,0.41,3.29,221.98,0,13.8468,0,0,0.0714
methylsulfanylbenzene,methylthiobenzene,100-68-5,C7H8S,124,1.057,117.5,1.585,39.38,4.76,1.31,-15,188,1.64,2.64,0.63,0.1419,15.9746,0.1876,0,4.0371
morpholine,morpholine,110-91-8,C4H9NO,87,1,87.1,1.455,23.64,7.4,1.71,-5,129,1.55,-0.16,7.17,0.5276,10.1606,1.6307,0.0011,2.1662
"N,N,N',N'-tetramethylurea",tetramethylurea,632-22-4,C5H12N2O,116,0.968,120,1.451,32.29,24.46,3.47,-1,177,0.85,0.46,2.84,0,14.6203,1.6994,0,2.1747
"N,N-diethylaniline","n,n-diethyl-benzeneamine",91-66-7,C10H15N,149,0.935,159.6,1.542,50.2,5.5,3.79,-21,215,1.91,3.81,0.16,0.0048,20.273,0.1084,0,2.698
"N,N-dimethylaniline","n,n-dimethylaniline",121-69-7,C8H11N,121,0.956,126.8,1.558,40.87,4.4,1.61,2,194,1.37,2.81,1.08,0.0166,16.7986,0.1518,0,3.0589
"N,N-dimethylcyclohexylamine","n,n-dimethylcyclohexylamine",98-94-2,C8H17N,127,0.85,149.7,1.454,40.53,2.86,0.76,-60,160,0.97,3.28,7.07,0,17.3664,0.511,0,0.3727
N-methylacetamide,n-methylacetamide,79-16-3,C3H7NO,73,0.946,77.3,1.433,20.08,178.9,4.12,28,205,2.68,-1.37,0.43,0.8132,8.9327,1.9272,0.3555,2.7318
N-methylaniline,n-methylaniline,100-61-8,C7H9N,107,0.99,108.2,1.571,35.56,6,1.73,-57,195,1.52,2,1.08,0.6798,14.4193,0.2947,0.1394,3.1793
N-methylcyclohexylamine,n-methylcyclohexanamine,100-60-7,C7H15N,113,0.868,130.4,1.455,35.38,3.64,1.29,-8,149,1.07,2.53,7.21,0.2806,15.4977,0.6758,0,0.8869
N-methylformamide,methylformamide,123-39-7,C2H5NO,59,1.003,58.9,1.432,15.27,171,3.83,-3,199,2.28,-1.82,1.15,0.9498,6.9111,1.8837,0.4728,2.4847
N-methylpiperidine,n-methylpiperidine,626-67-5,C6H13N,99,0.816,121.5,1.437,31.84,2.59,0.77,-18,106,0.68,2.45,43.23,0,14.2152,0.5398,0,0.4031
naphthalene,naphthalene,91-20-3,C10H8,128,1.14,112.4,1.59,37.93,2.54,0,80,218,1.98,2.97,0.64,0.0345,16.8066,0,0,3.8705
nitric acid,nitricacid,7697-37-2,HNO3,63,1.513,41.7,1.397,10.03,40,2.16,-42,83,0.22,1.07,4757.91,1.4959,6.3277,0.0453,0.8662,1.121
nitrobenzene,nitrobenzene,98-95-3,C6H5NO2,123,1.204,102.3,1.552,32.67,34.8,4.28,6,211,1.41,1.96,0.66,0.543,13.6378,0.7585,0,3.9559
nitroethane,nitroethane,79-24-3,C2H5NO2,75,1.054,71.2,1.391,16.92,19.7,3.61,-90,114,0.46,0.62,74.93,0.8983,8.8484,0.9569,0,3.3971
nitromethane,nitromethane,75-52-5,CH3NO2,61,1.137,53.7,1.382,12.49,39.4,3.46,-29,103,0.52,-0.01,56.49,1.4189,6.484,0.9337,0.0146,3.328
nonane,n-nonane,111-84-2,C9H20,128,0.718,178.6,1.403,43.59,1.96,0.07,-53,151,0.67,5.45,9.8,0,21.6711,0,0,0.0751
nonanol,1-nonanol,143-08-8,C9H20O,144,0.827,174.4,1.433,45.34,8.83,1.6,-7,215,12.57,3.62,0.04,0.7338,20.888,1.1504,0.3187,0.9364
octane,octane,111-65-9,C8H18,114,0.703,162.5,1.395,38.96,1.96,0,-57,126,0.54,4.93,15.86,0,19.691,0,0,0.073
octanoic acid,"1-bromo-1,2,2,2-tetrafluoroethane",124-07-2,C8H16O2,144,0.91,158.5,1.428,40.75,3.2,1.15,17,237,0.24,2.19,2259.72,0.9699,11.8274,0,0.4222,1.1545
octylamine,1-octanamine,111-86-4,C8H19N,129,0.782,165.3,1.429,42.63,3.58,1.17,0,177,1.46,3.35,1.49,0.5757,19.7876,0.8326,0,1.5676
oxane,thp,142-68-7,C5H10O,86,0.88,97.9,1.42,24.77,5.68,1.74,-45,88,0.59,1.3,86.4,0,11.6474,1.0257,0,0.6606
oxirane,ethyleneoxide,75-21-8,C2H4O,44,0.89,49.5,1.36,10.93,13.9,1.89,-111,11,0.32,-0.18,1904.9,0.0182,6.7899,1.2171,0,2.3414
oxolan-2-one,gamma-butyrolactone,96-48-0,C4H6O2,86,1.125,76.5,1.437,20.05,40.96,4.27,-43,205,1.08,-0.81,0.84,0.105,9.3629,2.2349,0,3.9454
pentachloroethane,pentachloroethane,76-01-7,C2HCl5,202,1.68,120.4,1.503,35.6,3.9,0.92,-29,162,0.74,3.17,5.53,0.7318,15.6297,0,0.2825,1.5173
pentanal,valeraldehyde,110-62-3,C5H10O,86,0.816,105.5,1.405,25.84,10.1,2.57,-92,104,0.47,1.21,88.85,0.0052,12.7279,1.4079,0,2.134
pentane,pentane,109-66-0,C5H12,72,0.626,115.2,1.358,25.27,1.84,0,-129,36,0.24,3.33,1187.31,0,13.7223,0,0,0.072
pentanenitrile,valeronitrile,110-59-8,C5H9N,83,0.795,104.5,1.397,25.17,17.7,4.12,-96,140,0.58,0.81,12.74,0.2903,12.5948,1.3666,0,2.3049
pentanoic acid,n-bucooh,109-52-4,C5H10O2,102,0.93,109.8,1.408,27.09,2.6,1.61,-35,187,6.15,1.3,0.7,0.8971,12.4248,1.7919,0.6057,1.5468
pentyl acetate,n-pentylacetate,628-63-7,C7H14O2,130,0.875,148.8,1.402,36.23,4.75,1.75,-100,149,0.9,2.48,1.95,0.0341,17.5704,1.7746,0,2.4201
pentyl formate,formicacidpentylester,638-49-3,C6H12O2,116,0.885,131.3,1.4,31.82,6.49,1.92,-73,131,0.9,2.07,10.14,0.4011,15.2721,1.6388,0,2.2032
pentylamine,n-pentylamine,110-58-7,C5H13N,87,0.754,115.5,1.411,28.72,4.5,1.3,-55,105,0.63,1.74,49.57,0.5757,13.7367,0.8743,0,1.551
perfluoro(methylcyclohexane),perfluoromethylcyclohexane,355-02-2,C7F14,350,1.8,194.5,1.3,36.37,1.86,0.28,-70,76,0.54,4.53,85.13,0.0398,21.6853,0,0,0.4517
perfluoro-n-octane,perfluorooctane,307-34-6,C8F18,438,1.759,249,1.284,44.27,1.81,0,-23,104,0.53,6.06,45.41,0.0852,27.9288,0,0,0.4884
phenol,phenol,108-95-2,C6H6O,94,1.058,89,1.542,28,10,1.55,41,182,4.42,1.36,0.72,0.9634,11.4976,0.6696,0.6617,2.7861
phenyl acetate,phenylacetate,122-79-2,C8H8O2,136,1.078,126.3,1.503,37.34,5.23,1.78,50,196,2.23,1.7,0.3,0.2564,15.787,1.5072,0,4.9056
phenyl isothiocyanate,phenylisothiocyanat,103-72-0,C7H5NS,135,1.129,119.8,1.649,43.64,10.4,2.85,-21,219,1.71,3.2,0.4,0.2344,17.1705,0,0,3.268
phenylhydrazine,phenyl-hydrazine,100-63-0,C6H8N2,108,1.098,98.5,1.609,34.1,7.2,1.67,23,242,4.04,0.51,0.11,1.8304,12.195,0.8815,0.1876,4.3209
phenylisocyanate,isocyanatobenzene,103-71-9,C7H5NO,119,1.096,108.7,1.537,33.95,8.8,2.25,-33,166,1.12,2.74,4.96,0.2002,15.3812,0.0421,0,3.4666
phosphorus oxychloride,pocl3,10025-87-3,Cl3OP,153,1.68,91.3,1.46,25,13.5,2.54,1,107,0.43,2.14,57.08,0.3093,12.0954,0.9384,0.005,1.4738
phosphorus trichloride,pcl3,12/2/19,Cl3P,137,1.576,87.1,1.515,26.26,3.7,0.56,-94,75,0.4,2.78,82.96,0.58,12.0499,0,0,1.5448
piperidine,piperidine,110-89-4,C5H11N,85,0.862,98.8,1.453,26.67,5.9,0.73,-7,106,0.91,1.49,49.46,0.4007,11.8374,0.6681,0,0.8786
propanal,propanal,123-38-6,C3H6O,58,0.803,72.4,1.38,16.76,18.5,2.52,-81,49,0.32,0.1,747.6,0.01,8.731,1.4118,0,2.3956
propane,propane,74-98-6,C3H8,44,0.581,75.9,1.34,15.9,1.6,0.08,-188,-42,0.14,2.27,14556.83,0,9.7387,0,0,0.0673
propanedinitrile,dicyanomethane,109-77-3,C3H2N2,66,1.049,63,1.415,15.76,46,3.73,31,220,2.24,-1.25,0.08,2.4727,6.8854,1.4394,0.6935,2.7449
propanenitrile,propionitrile,107-12-0,C3H5N,55,0.792,69.6,1.366,15.58,27.7,4.04,-92,97,0.39,-0.35,69.89,0.3581,8.5284,1.3626,0,2.7598
propanoic acid,propionicacid,79-09-4,C3H6O2,74,0.99,74.8,1.386,17.58,3.1,1.76,-21,141,3.92,0.17,4.44,0.9013,8.4421,1.7836,0.6082,1.8287
propanol,propanol,71-23-8,C3H8O,60,0.804,74.8,1.386,17.55,21.8,1.65,-127,97,2.43,0.41,30.41,0.7304,8.9339,1.1721,0.3273,0.9599
propene,propene,115-07-1,C3H6,42,0.61,68.9,1.363,15.31,1.9,0.36,-185,-48,0.16,1.73,11869.45,0,9.1563,0.1213,0,1.0089
propyl acetate,n-propylacetate,109-60-4,C5H10O2,102,0.888,115,1.384,26.89,6.3,1.79,-95,102,0.57,1.41,13.95,0.0344,13.5504,1.7755,0,2.53
propyl formate,n-propylformate,110-74-7,C4H8O2,88,0.906,97.2,1.377,22.37,7.72,1.83,-93,82,0.47,1.07,41.01,0.401,11.2831,1.6418,0,2.3382
propyl nitrate,propylnitrate,627-13-4,C3H7NO3,105,1.054,99.7,1.397,24.03,13.9,3.01,-100,110,0.41,2.65,150.33,0.4134,13.459,0.1474,0,2.5785
propyl propanoate,propylpropionate,106-36-5,C6H12O2,116,0.882,131.7,1.393,31.43,4.7,1.79,-76,122,0.65,1.99,9.59,0.001,15.5613,1.6829,0,2.1405
propylamine,n-propylamine,107-10-8,C3H9N,59,0.717,82.4,1.388,19.45,5.9,1.18,-83,48,0.37,0.67,469.49,0.583,9.7545,0.874,0,1.5674
propylbenzene,n-propylbenzene,103-65-1,C9H12,120,0.864,139.1,1.493,40.42,2.37,0.42,-92,159,1.16,3.61,3.97,0.0052,17.8909,0,0,2.0717
pyrazine,pyrazine,290-37-9,C4H4N2,80,1.031,77.7,1.495,22.66,2.8,0,52,115,1.06,-0.34,14.1,0.4743,9.3759,1.4184,0,3.1849
pyridine,pyridine,110-86-1,C5H5N,79,0.983,80.5,1.51,24.07,12.4,2.37,-42,115,0.83,0.53,19.58,0.1338,10.6517,0.9334,0,3.2848
pyrrole,pyrrole,109-97-7,C4H5N,67,0.967,69.4,1.509,20.72,7.5,1.71,-23,130,1.13,0.59,8.14,1.0532,8.7738,0.7619,0.5724,2.5364
pyrrolidine,pyrrolidine,123-75-1,C4H9N,71,0.866,82.1,1.443,21.78,8.3,1.57,-63,87,0.67,0.98,120.4,0.3468,10.4126,0.8465,0,1.0727
quinoline,chinoline,91-22-5,C9H7N,129,1.093,118.2,1.626,41.83,9,2.25,-15,238,2.65,1.65,0.14,0.1573,15.4356,0.8825,0,4.2446
salicylaldehyde,1-(2-thienyl)ethanethiol,90-02-8,C7H6O2,122,1.167,104.6,1.574,34.51,17.1,2.78,-7,197,2.16,2.65,0.14,0.6046,16.1433,0.5321,0,4.0157
styrene,styrene,100-42-5,C8H8,104,0.909,114.6,1.546,36.28,2.43,0.18,-30,145,1.02,2.73,7.63,0.0429,15.3947,0.0073,0,3.5496
sulfolane,"tetrahydrothiophene-1,1-dioxide",126-33-0,C4H8O2S,120,1.26,95.4,1.471,26.66,44,4.68,27,285,2.77,-1.72,0,0.6625,10.1634,3.174,0,5.3287
sulfuryl chloride,sulfurylchloride,7791-25-5,Cl2O2S,135,1.671,80.8,1.443,21.43,10,1.81,-54,70,0.26,2.75,706.75,0.3603,11.7523,0,0,1.5913
tetrachloroethene,tetrachloroethene,127-18-4,C2Cl4,166,1.63,101.7,1.504,30.13,2.3,0,-36,122,0.43,3.25,58.03,0,14.748,0,0,1.0062
tetrachloromethane,ccl4,56-23-5,CCl4,154,1.584,97.1,1.46,26.59,2.24,0,-23,77,0.36,2.89,130.81,0.0082,13.4139,0,0,1.1679
tetrahydronaphthalene,tetralin,119-64-2,C10H12,132,0.974,135.7,1.539,42.52,2.77,0.61,-31,205,1.67,3.51,1.29,0,17.6111,0.0013,0,1.6147
tetramethylsilane,tetramethylsilane,75-76-3,C4H12Si,88,0.646,136.6,1.359,30.07,1.92,0.48,-100,27,0.31,3.54,2402.68,0,15.1038,0,0,0.5248
