stenutz_name,cosmo_name,cas_number,chemical_formula,molecular_weight,density,molar_volume,refractive_index,molecular_refractive_power,dielectric_constant,dipole_moment,melting_point,boiling_point,viscosity,partition_coefficient,vapour_pressure,sigma_1,sigma_2,sigma_3,sigma_4,sigma_5
"3,3-dimethylpentane","3,3-dimethylpentane",562-49-2,C7H16,100,0.693,144.6,1.391,34.35,1.94,0,-135,86,0.33,3.9,211.66,0,16.1669,0,0,0.1326
"3,4-dimethylpyridine","3,4-dimethylpyridine",583-58-4,C7H9N,107,0.955,112.2,1.511,33.61,11.47,1.87,-11,164,1.14,1.39,2.32,0.0197,14.2471,1.0113,0,2.889
"3,6,9-trioxaundecane","1,1'-oxybis-2-ethoxy-ethane",112-36-7,C8H18O3,162,0.906,179.1,1.411,44.46,5.7,1.96,-44,187,1.66,1.58,0.06,0,20.9786,2.7497,0,2.2639
3-bromoaniline,3-bromoaniline,591-19-5,C6H6BrN,172,1.579,108.9,1.626,38.56,13,2.99,18,251,3.21,1.69,0.03,1.6675,13.9078,0.398,0.347,3.74
3-bromopentane,3-bromopentane,1809-10-5,C5H11Br,151,1.211,124.7,1.443,33.07,8.37,2.29,-126,118,0.5,3.07,27.54,0.0047,15.5388,0.0415,0,1.412
3-bromopropene,3-bromopropene,106-95-6,C3H5Br,121,1.398,86.5,1.47,24.14,7,1.4,-119,71,0.44,1.76,87.56,0.2922,11.5666,0.0002,0,3.0687
3-bromopyridine,3-bromopyridine,626-55-1,C5H4BrN,158,1.617,97.7,1.57,32.06,9.85,1.99,-27,173,1.54,1.42,1.14,0.6012,12.7651,0.7827,0,3.1841
3-chloroaniline,3-chlorobenzeneamine,108-42-9,C6H6ClN,128,1.214,105.1,1.594,35.66,13.4,2.43,-10,230,2.65,1.51,0.1,1.6568,13.407,0.3971,0.3403,3.6706
3-chloropropene,3-chloropropene,107-05-1,C3H5Cl,77,0.94,81.4,1.416,20.43,8.2,1.94,-135,45,0.38,1.56,278.8,0.2296,11.1209,0.0011,0,3.0252
3-chlorotoluene,3-chlorotoluene,108-41-8,C7H7Cl,127,1.072,118.1,1.522,36.01,5.55,1.6,-48,162,1.04,3.04,3.84,0.1255,15.8857,0,0,2.8977
3-ethylpentane,3-ethylpentane,617-78-7,C7H16,100,0.699,143.4,1.394,34.28,1.94,0,-119,93,0.34,4.01,185.33,0,16.4778,0,0,0.108
3-heptanol,3-heptanol,589-82-2,C7H16O,116,0.817,142.2,1.42,35.99,6.86,1.71,-70,157,3.47,2.66,1.24,0.6239,16.8559,0.9329,0.2338,0.8062
3-heptanone,3-heptanone,106-35-4,C7H14O,114,0.818,139.6,1.409,34.49,12.9,2.78,-37,147,0.76,2.1,7.48,0,16.5313,1.4046,0,5.4652
3-isothiocyanatopropene,dmtt(dazomet),57-06-7,C4H5NS,99,1.017,97.5,1.527,29.97,17.2,3.3,-102,154,7.93,0.73,0,0.9227,15.146,2.1104,0.3207,1.0125
