NAME,conversion,de,solvent,batch
TYPE,DATA,DATA,DATA,METADATA
0,62.05213348143221,82.88448461897676,111-96-6,0
1,64.89548314784584,79.44706782490047,108-93-0,0
2,94.63050249372071,79.68409383821752,56-81-5,0
3,48.78842763054419,73.45486632582725,64-18-6,0
4,53.53766325332559,83.71754507514326,540-84-1,1
5,57.37810327171628,84.23667971352499,109-60-4,1
6,67.79601501175807,80.90261491208413,96-49-1,1
7,53.95266704263872,84.63301946987286,107-06-2,1
8,77.15569769710618,82.86981514393416,126-33-0,2
9,59.110529518397264,88.14648737023253,7226-23-5,2
10,54.16833560861118,87.30627114389662,123-92-2,2
11,56.24460996906821,88.4480369809953,628-63-7,2
12,58.33692262789936,81.82996950883069,591-78-6,3
13,56.88512922243582,86.46855909661967,108-10-1,3
14,57.14806657771015,83.14529716119726,108-90-7,3
15,61.00849716358339,81.3452622104681,110-71-4,3
16,50.02468913399055,74.9491664633613,67-64-1,4
17,58.85431493288123,80.776415471571,68-12-2,4
18,63.543727208584144,83.35475722800506,57-55-6,4
19,53.3378826916315,87.29351030058704,109-69-3,4
20,58.528778542306924,82.45824203058851,120-92-3,5
21,58.843020053330335,85.21367207647434,680-31-9,5
22,64.38859323289421,84.78349849356873,108-75-8,5
23,52.236247312241794,88.37759614040459,1634-04-4,5
24,60.807585950064464,83.81868747509513,98-82-8,6
25,69.05650242813326,79.75922624732493,111-70-6,6
26,62.11101298664808,83.92720176082543,123-25-1,6
27,54.40659711982381,86.92804097193354,109-86-4,6
28,52.90467809708632,88.36857331958655,75-85-4,7
29,54.10960308352284,86.74010777367755,75-65-0,7
30,59.372284468724544,82.4955871109506,110-19-0,7
31,53.993969419343316,85.75630673134191,96-47-9,7
32,63.137734385458984,82.1458971049524,872-50-4,8
33,60.59029005954813,86.1336223358052,123-51-3,8
34,64.22183792977161,82.43474513213633,108-24-7,8
35,55.41540314399917,86.93036467677445,71-43-2,8
36,76.4032378552477,79.6275489489266,100-51-6,9
37,54.96908767143547,84.54412866382134,71-36-3,9
38,49.67394282444692,78.56151179747395,75-15-0,9
39,58.140837332193584,87.67937058190638,75-09-2,9
