NAME,conversion,de,solvent,batch
TYPE,DATA,DATA,DATA,METADATA
0,49.29124430278986,83.62156235491565,60-29-7,0
1,79.09870485267302,81.14497199733631,126-33-0,0
2,60.46405158477741,77.44857324095925,68-12-2,0
3,66.29792167342643,79.9765847685898,108-93-0,0
4,64.47237157808759,85.11640616545237,98-82-8,0
5,56.39771754035401,75.66028258585543,67-66-3,0
6,97.2425642922626,77.0455811601406,56-81-5,0
7,56.66108281176716,84.39373423576394,7226-23-5,0
8,56.54984708247413,83.29604957727521,628-63-7,1
9,76.20157597592643,84.3049304747979,100-51-6,1
10,74.95374444616316,84.95875645775844,111-87-5,1
11,58.961690047129785,86.68452378495749,107-06-2,1
12,57.56652769539028,85.5127868761863,110-71-4,1
13,66.01520324215483,83.28291949795114,57-55-6,1
14,66.91674586641527,87.62111408329032,96-49-1,1
15,58.68135229525928,85.20307676889796,109-69-3,1
16,61.966905791178306,84.93535947736513,102-76-1,2
17,60.97972956082756,88.67306913511797,108-75-8,2
18,58.66603736692679,85.45251777757291,591-78-6,2
19,58.114417228208346,82.98705409114095,1634-04-4,2
20,52.19556288358715,81.3889073971747,109-86-4,2
21,53.539202072927544,81.04709007650297,75-85-4,2
22,57.2868231747111,84.8234113294632,75-65-0,2
23,57.99642852206653,83.07785124223473,110-19-0,2
24,55.152728883403874,85.56435222284976,96-47-9,3
25,58.37214313592406,86.14578745842284,123-51-3,3
26,62.30133779936055,82.97480654845309,108-24-7,3
27,53.78636788872943,83.10923977127548,71-43-2,3
28,54.747111082709615,84.68902567195362,71-36-3,3
29,50.331781635887005,77.77574002302123,75-15-0,3
30,57.665897795972654,85.22285530472702,108-90-7,3
31,62.09990574921221,84.21233887518714,120-92-3,3
32,52.89542982825706,81.16635390707727,75-09-2,4
33,61.91699002954685,87.71771697427485,123-25-1,4
34,56.76276313089449,80.87751324379745,123-91-1,4
35,60.21098331854521,79.27782875974603,107-21-1,4
36,51.423664739943035,83.93466599298904,64-17-5,4
37,52.76786697382328,84.16184476208369,141-78-6,4
38,52.9633478568681,79.96783489984254,109-94-4,4
39,48.28551034190747,75.61365091334665,64-18-6,4
