NAME,conversion,de,solvent,batch
TYPE,DATA,DATA,DATA,METADATA
0,62.29887958586409,78.09825570638156,107-21-1,0
1,53.87690835742493,74.36630191556459,67-66-3,0
2,84.15317134635929,84.44133380969299,126-33-0,0
3,59.317493662100794,85.2418596418361,109-60-4,0
4,43.104862779312285,73.95067478061188,107-31-3,1
5,56.39608802322976,82.18070741302093,680-31-9,1
6,46.55724771170615,82.85730788571693,109-94-4,1
7,61.24622014127899,85.86558623376081,123-25-1,1
8,56.739031660656536,83.73345907730592,120-92-3,2
9,60.168403671530335,81.80439772099007,98-08-8,2
10,59.25393874991968,87.94837749781541,108-10-1,2
11,60.49885940767294,84.02184884622827,110-19-0,2
12,62.93137158934459,82.44098119913859,7226-23-5,3
13,57.21935688742948,84.28571270620085,123-86-4,3
14,59.81085840425417,87.67098095790331,105-58-8,3
15,59.402346253706575,83.32163002921506,108-94-1,3
16,96.85774876699197,80.58841789263595,56-81-5,4
17,59.54478817584563,83.54542297430959,123-92-2,4
18,55.66862576978791,83.88679339263064,540-84-1,4
19,56.22871923109756,82.9036370452961,110-54-3,4
20,66.3603090940263,82.41037688293487,96-49-1,5
21,53.30232524006757,84.79722786148558,107-06-2,5
22,55.92959107393325,84.66565148621724,110-71-4,5
23,58.67458727855181,82.72476269363558,57-55-6,5
24,54.33344595485499,85.32584869915725,108-90-7,6
25,65.2067253441112,84.2414684062538,111-96-6,6
26,60.0409441935885,86.83525050351571,100-66-3,6
27,54.53437997140097,84.75891653917118,109-69-3,6
28,55.56474382788752,86.46835667752337,628-63-7,7
29,62.92191754666008,81.50235121390558,127-19-5,7
30,57.99163312162135,85.1408868818394,108-75-8,7
31,56.333471833072196,84.49695492712439,591-78-6,7
32,58.27171201074622,77.37532754685165,68-12-2,8
33,66.0699414649918,84.69846246838142,872-50-4,8
34,50.13034734927075,81.5000937901982,1634-04-4,8
35,56.61074410570671,82.24369107903308,109-86-4,8
36,67.39090752980819,85.73397670383474,111-70-6,9
37,58.00413954784789,82.83541397694445,75-85-4,9
38,56.08654517986255,83.83405897963557,75-65-0,9
39,48.84790505107624,87.43183892845474,96-47-9,9
