NAME,conversion,de,solvent,batch
TYPE,DATA,DATA,DATA,METADATA
0,88.95521098275229,81.06907484833722,56-81-5,0
1,50.16884151082947,80.14838092959792,75-05-8,0
2,56.78847086568044,75.68333741727504,67-66-3,0
3,83.51659727255705,82.0980365669634,111-87-5,0
4,79.86300036585472,82.222528436861,126-33-0,0
5,58.49294436000928,88.64553521659307,628-63-7,0
6,60.54499820493032,86.72427699434678,7226-23-5,0
7,58.974163901638754,81.6206248254623,107-21-1,0
8,58.418218600083186,79.91394312910948,68-12-2,1
9,55.9250391563497,84.06829285696095,57-55-6,1
10,61.030993516014206,84.36642653083044,120-92-3,1
11,60.28396732552732,84.86278021678709,108-90-7,1
12,60.40459325293062,78.3885812758183,108-93-0,1
13,54.68201493261252,83.0589894000536,108-10-1,1
14,54.080599898486355,82.65216504812592,123-92-2,1
15,60.225705409792894,82.3497589693573,98-82-8,1
16,61.17855862513319,82.53511210019755,102-76-1,2
17,57.08215075440586,86.1702237559146,107-06-2,2
18,57.54676134964518,83.22833495795908,110-71-4,2
19,69.83707966653964,85.56441697743186,96-49-1,2
20,60.69664803034067,84.14842320213567,109-69-3,2
21,64.47694022774293,90.24724249735581,108-75-8,2
22,56.74581546641074,83.17688644306284,591-78-6,2
23,52.6664171956037,84.84878414650593,1634-04-4,2
24,65.81655491436011,83.24584547998498,67-68-5,3
25,77.4099991690704,80.86752014495325,100-51-6,3
26,53.16964893956441,89.37225737197949,109-86-4,3
27,54.916944301790295,82.84743995951264,75-85-4,3
28,56.840058679478574,82.78485118419994,75-65-0,3
29,56.73085339590726,84.43364378545672,110-19-0,3
30,55.92559675775331,85.33812336370922,96-47-9,3
31,59.01876115395624,81.76601419887699,123-51-3,3
32,63.72483216608579,81.2662804294329,108-24-7,4
33,56.334003742746205,83.18390556958725,71-43-2,4
34,54.92995555037812,81.50065406000355,71-36-3,4
35,53.271521290690075,81.29209457907473,75-15-0,4
36,50.1298869782068,82.06852283764484,75-09-2,4
37,60.34049778987627,81.17885504851422,123-25-1,4
38,53.98610880315187,87.632892012481,123-91-1,4
39,52.443036614841205,85.36583960157503,64-17-5,4
