NAME,conversion,de,solvent,batch
TYPE,DATA,DATA,DATA,METADATA
0,79.14840797693627,80.92072527416829,126-33-0,0
1,53.07786454727034,62.777413636508584,76-05-1,0
2,54.076479554929,67.25388025702595,76-05-1,0
3,60.98819887240223,84.3018642954546,123-25-1,0
4,41.077669060048116,75.1743618831962,107-31-3,1
5,51.40576938739472,78.5724755246666,109-94-4,1
6,58.70046138902384,81.14269265087404,120-92-3,1
7,54.34659719191212,81.90570235532462,680-31-9,1
8,53.78606153133843,82.43682444461348,109-66-0,2
9,64.2234600387528,79.81254910763337,872-50-4,2
10,50.53989499891017,82.55117554618542,60-29-7,2
11,55.61017662970072,87.92596555840713,591-78-6,2
12,58.1818495037581,82.32195680569606,108-94-1,3
13,61.25759656464373,86.78047278030328,96-49-1,3
14,63.71620818521365,86.31656708852596,102-76-1,3
15,93.94441597022353,80.38637849209682,56-81-5,3
16,52.48256275232344,83.7231443681347,107-06-2,4
17,55.89162178196138,83.36521066734073,110-71-4,4
18,59.904775837560486,81.52906528467935,57-55-6,4
19,63.410305797270595,85.5786147053878,7226-23-5,4
20,53.95472082660699,82.64789751250751,109-69-3,5
21,64.72180973795759,84.46834619480484,108-75-8,5
22,52.438260006957364,86.72960810469739,1634-04-4,5
23,55.7527680330373,83.25667847167875,109-86-4,5
24,56.44437627084738,85.22063124953695,75-85-4,6
25,57.176984825253584,82.73195087050817,75-65-0,6
26,56.907579512087004,85.21194951030539,110-19-0,6
27,52.011914975762586,82.14092616426645,96-47-9,6
28,54.90869635405239,88.06464994044411,123-51-3,7
29,63.56805445292995,84.23754231822595,108-24-7,7
30,52.14726156799619,83.37081767582244,71-43-2,7
31,75.50412703746031,79.43504419713085,100-51-6,7
32,71.53017224085912,79.71305590096594,108-32-7,8
33,55.77502190399183,83.16346350487552,123-92-2,8
34,57.40278789659216,86.19339716013663,100-66-3,8
35,59.54780430763976,83.48648457758914,98-08-8,8
36,68.92016210333128,84.19339480615935,67-68-5,9
37,49.34160916421368,82.92714279470495,71-36-3,9
38,50.10132930649711,77.07414015015783,75-15-0,9
39,59.2795744953199,83.5667326462054,108-90-7,9
