NAME,conversion,de,solvent,batch
TYPE,DATA,DATA,DATA,METADATA
0,38.892227269630126,65.59980618719496,7732-18-5,0
1,62.27165060574638,87.26971775882132,7226-23-5,0
2,58.98447481207352,81.16179928932671,57-55-6,0
3,64.28364530473239,84.16253690402667,102-76-1,0
4,53.1492958708142,85.12056249764044,64-17-5,1
5,66.46740831788367,84.86921624231373,108-24-7,1
6,98.77195077822277,82.00890623200857,56-81-5,1
7,65.90171121519012,86.88016815356619,96-49-1,1
8,58.88717503500947,82.42247039758062,109-86-4,2
9,62.0544220046887,78.6580751753753,68-12-2,2
10,55.49205409454902,82.7900576641499,79-09-4,2
11,56.3245860623075,80.17265126481361,107-06-2,2
12,63.527717184993065,80.53800214979049,108-93-0,3
13,64.86383498288055,80.44248504830026,127-19-5,3
14,73.80494556888547,81.50359091572258,108-32-7,3
15,59.16312372545999,85.4342927844009,110-71-4,3
16,54.5342827292016,82.5187972855358,110-54-3,4
17,68.55930990798547,83.17783276827313,67-68-5,4
18,51.61518941005113,85.35034418973929,121-44-8,4
19,62.44496988832468,83.52694657139537,872-50-4,4
20,56.975936769304745,78.80634119541064,540-84-1,5
21,79.06196061411033,82.18166901734114,126-33-0,5
22,57.21327352756412,82.32944812463508,123-92-2,5
23,58.293282500687134,83.29429132251065,628-63-7,5
24,78.42511367519347,84.09397440659305,111-87-5,6
25,54.30746308839898,82.596464688649,109-69-3,6
26,60.47271531224012,83.7998881266392,108-75-8,6
27,59.64588891683659,86.19414554694248,591-78-6,6
28,61.826971499735684,84.93380447894108,123-25-1,7
29,50.27100056878874,81.87402720013648,1634-04-4,7
30,54.7015650728777,82.87006468532334,75-85-4,7
31,51.11989175569673,85.20539461874904,75-65-0,7
32,57.913895878204514,81.69340605820807,110-19-0,8
33,52.67517470299359,85.95057263076743,96-47-9,8
34,55.27109081552668,84.30129603691192,123-51-3,8
35,53.74941121996583,84.39845898361476,71-43-2,8
36,74.42187335601021,84.58465524703527,100-51-6,9
37,52.113330908022704,82.38869208353557,71-36-3,9
38,52.977715094961496,79.71640405406643,75-15-0,9
39,62.945073836990446,87.82318617229518,108-90-7,9
