NAME,conversion,de,solvent,batch
TYPE,DATA,DATA,DATA,METADATA
0,49.239023131963144,76.82560276918204,64-18-6,0
1,61.10220236562289,79.24927368506158,120-92-3,0
2,58.95131378432957,76.21681949127579,107-21-1,0
3,83.64693023379166,83.03547704893714,111-87-5,0
4,56.46012711251657,83.68152510931662,109-66-0,1
5,61.565156504660216,86.71452396853645,7226-23-5,1
6,58.29533337079545,84.99468413104573,98-82-8,1
7,53.14710716822561,80.34261303900635,108-87-2,1
8,58.7275355538419,86.23357097129646,100-66-3,2
9,97.1763324038983,75.00351822156739,56-81-5,2
10,57.71439538368533,88.10747024743645,107-06-2,2
11,55.4680527128439,81.41048506850248,110-71-4,2
12,49.58975517876864,62.44446153217349,76-05-1,3
13,59.26545696216387,87.13336891641354,108-93-0,3
14,72.2279014336133,80.53164111294232,111-70-6,3
15,59.42165880838209,89.05562327642131,57-55-6,3
16,63.417957523893335,83.24936385884364,123-25-1,4
17,59.67588230286002,87.91790270503003,108-90-7,4
18,60.03582338542126,86.4877020814933,98-08-8,4
19,64.52273108523399,83.2745196365974,96-49-1,4
20,58.333649126227265,84.4417298131626,680-31-9,5
21,65.12130391507505,87.49120792664907,102-76-1,5
22,57.229478065771886,85.69397386427327,109-69-3,5
23,56.23782325004093,90.29865680925433,591-78-6,5
24,81.39133693605906,80.46372248175912,126-33-0,6
25,61.47564625681719,88.34050032807455,108-75-8,6
26,53.70367230781366,83.17596056603821,1634-04-4,6
27,58.2320718772576,86.47472440719123,109-86-4,6
28,55.61373735543443,84.317168061816,75-85-4,7
29,57.54439612073193,86.51849065107331,75-65-0,7
30,58.817021924320485,83.35121843073347,110-19-0,7
31,53.313133195405925,84.68075567290279,96-47-9,7
32,79.25364305121069,83.58880174738407,100-51-6,8
33,51.719184865150346,86.69744538219078,123-51-3,8
34,66.51556150612493,78.28781576516631,108-24-7,8
35,55.66803086181789,82.89151210598644,71-43-2,8
36,60.81532226856099,84.09213006507153,71-36-3,9
37,52.294112553474044,77.37564159005181,75-15-0,9
38,52.579765623695316,83.54191556913909,75-09-2,9
39,58.40180675896072,83.71305859667955,123-91-1,9
