NAME,conversion,de,solvent,batch
TYPE,DATA,DATA,DATA,METADATA
0,67.11813202846359,84.54697757686604,96-49-1,0
1,74.12408836845508,80.21009589000087,100-51-6,0
2,52.498409502591194,63.844758930743254,76-05-1,0
3,60.39762679249811,83.75076444498858,111-96-6,0
4,46.42501101681337,76.64834515036134,75-15-0,0
5,61.82284460947073,80.67002834355013,108-93-0,0
6,64.68183829684911,83.22884237879828,96-49-1,0
7,57.90452171323701,84.13652631720237,75-85-4,0
8,97.87743715340547,75.5763718788242,56-81-5,1
9,55.67765517157072,83.5302723878,64-17-5,1
10,48.542050036138335,82.23733175105986,60-29-7,1
11,55.63484509116599,84.46195674647764,108-20-3,1
12,82.17240843830794,82.73246357011016,126-33-0,1
13,57.703175629586696,88.42406360518069,109-69-3,1
14,55.28966906714226,80.34542408350373,107-06-2,1
15,60.14107666039265,83.66527300633749,57-55-6,1
16,61.61705248490563,86.1461275118607,872-50-4,2
17,62.10100019058715,86.7343412592819,108-90-7,2
18,54.71303008497886,85.23253728610214,110-71-4,2
19,53.687682544977136,84.18200140472553,591-78-6,2
20,55.982446153268924,87.14066972339491,1634-04-4,2
21,55.527433974394974,83.07647301691563,109-86-4,2
22,56.673938442548405,83.7373364490195,75-65-0,2
23,58.247412478946956,83.9201839593539,110-19-0,2
24,58.73896608733376,88.67315108835025,100-66-3,3
25,55.16850057264751,87.36036715862666,96-47-9,3
26,54.43885217808542,84.80201989219165,123-51-3,3
27,64.3274740623697,79.81409412176787,108-24-7,3
28,54.90684669416416,82.57284046408773,71-43-2,3
29,51.29551305965632,81.72647459843677,71-36-3,3
30,61.161191019388454,84.52203270501138,98-82-8,3
31,60.85982634748608,79.59806467748474,120-92-3,3
32,56.52012452681855,82.45969061334797,628-63-7,4
33,58.960043585469926,82.75958076745226,123-92-2,4
34,56.194030663806956,85.69382142308002,75-09-2,4
35,53.73710719063795,85.62296148225754,123-91-1,4
36,59.91079323947944,81.22671389616828,107-21-1,4
37,54.3871852472313,84.38617537316601,141-78-6,4
38,50.630681211956365,81.79092340616883,109-94-4,4
39,49.13724823417439,74.9198588540354,64-18-6,4
