NAME,conversion,de,solvent,batch
TYPE,DATA,DATA,DATA,METADATA
0,99.05134645844373,77.15177266301292,56-81-5,0
1,61.2776841704471,90.35465913367166,123-25-1,0
2,62.58611236720078,80.2587901078142,68-12-2,0
3,49.47327940451976,77.76252822057272,75-15-0,0
4,47.96558933000959,77.40050442141853,67-64-1,1
5,58.640862069209575,91.69420242385267,680-31-9,1
6,55.55714072023697,79.36100717735316,616-38-6,1
7,66.39544330210417,85.01232812858129,96-49-1,1
8,55.05462439809371,85.58689532658904,75-52-5,2
9,66.72185986550879,83.90227169466257,872-50-4,2
10,58.10256911818903,82.80948152877123,107-06-2,2
11,58.159058627136254,84.49640620218642,110-71-4,2
12,57.70025356415884,76.19574407702552,67-66-3,3
13,55.31418918995323,84.0392101838961,628-63-7,3
14,55.967773702823266,85.31040929832356,109-69-3,3
15,56.81898581961098,84.11884156852219,591-78-6,3
16,77.06709185107233,85.2315129483427,111-87-5,4
17,70.43190885554434,83.92301624915471,111-96-6,4
18,66.44518724302478,81.21709848080724,67-68-5,4
19,62.606858296007324,81.03126216665197,57-55-6,4
20,79.88750854140706,82.19435231043862,126-33-0,5
21,61.990850067939576,87.62886681521617,7226-23-5,5
22,66.96592548026801,86.0686335175039,108-75-8,5
23,50.05415063977367,86.64902959255237,1634-04-4,5
24,56.02584013476544,86.67375376844761,109-86-4,6
25,58.36172369308095,80.26356307115002,75-85-4,6
26,55.713037342062144,81.46928538170931,75-65-0,6
27,57.10877998141608,86.31119380056951,110-19-0,6
28,62.994427699622754,86.94856049469311,102-76-1,7
29,53.191272692442595,85.92723979277599,96-47-9,7
30,58.515082154771655,85.69990449433402,123-51-3,7
31,60.940467576592624,83.5809413861424,108-24-7,7
32,51.07414805095867,85.36772975692547,71-43-2,8
33,53.50531957645277,80.50929782551277,71-36-3,8
34,58.59419455192844,82.38716712308312,108-90-7,8
35,62.20207947723816,83.19344435638793,98-82-8,8
36,74.98780124844293,79.27932196319452,100-51-6,9
37,65.15377248836577,80.94492603757114,108-93-0,9
38,55.52484528380209,85.39988946490472,120-92-3,9
39,52.001802912484926,87.24765179554737,75-09-2,9
