NAME,conversion,de,solvent,batch
TYPE,DATA,DATA,DATA,METADATA
0,82.23425792095419,81.6766205156922,111-87-5,0
1,49.486166272421784,74.57336754741772,64-18-6,0
2,62.407973636595734,87.84811177107946,98-82-8,0
3,79.77494575115531,85.70443473811953,126-33-0,0
4,94.77494659176251,78.0076710183713,56-81-5,1
5,60.470778767918105,87.01620070982612,109-66-0,1
6,54.14953948131478,82.02543103139696,109-86-4,1
7,39.75110420299416,73.98542756136055,107-31-3,1
8,61.44805164864027,87.25368717141276,123-25-1,2
9,59.27192304189987,83.42579652260423,107-06-2,2
10,56.028519007027086,82.45920975413247,110-71-4,2
11,59.144333492910896,84.39113673269225,57-55-6,2
12,67.27175249126468,84.67475394939991,96-49-1,3
13,52.9352263959162,84.66615090559128,109-69-3,3
14,57.88212012880612,87.89172203003339,591-78-6,3
15,50.022394769943624,84.0236788226474,1634-04-4,3
16,66.8050592589346,85.41905195748379,872-50-4,4
17,57.52942572526219,85.30504868580789,108-94-1,4
18,59.691145022833076,84.71001658093475,123-86-4,4
19,56.619317313636344,82.46816820043776,75-85-4,4
20,55.28472545664546,84.58311517684793,110-54-3,5
21,60.72400658786187,85.81048182621007,100-66-3,5
22,63.66538925626342,87.77974519050137,108-75-8,5
23,49.733818398563734,79.35422802876283,108-87-2,5
24,58.92214606221419,80.62820568756037,7226-23-5,6
25,56.798859977263106,78.97402922180208,75-65-0,6
26,58.666486726613165,85.14342791032162,110-19-0,6
27,54.619537487521754,80.81122737423513,96-47-9,6
28,56.09497682028994,82.6250891026753,123-51-3,7
29,63.06386873495343,85.05558005773337,108-24-7,7
30,55.57643800726951,87.65634295739049,71-43-2,7
31,74.02130398019425,83.17333785623238,100-51-6,7
32,56.06295150140897,77.59079674291316,71-36-3,8
33,50.8784762001097,81.53797866575718,75-15-0,8
34,60.22639427756354,87.34316394694545,108-90-7,8
35,63.305265514193685,81.39538685646076,108-93-0,8
36,61.80497359103354,85.85340887601701,111-96-6,9
37,58.694499444858494,82.1866786910481,120-92-3,9
38,49.99172026541047,81.1437110751725,75-09-2,9
39,56.955245044648834,84.55463734626423,123-91-1,9
