NAME,conversion,de,solvent,batch
TYPE,DATA,DATA,DATA,METADATA
0,57.94342330439737,88.09348933655681,680-31-9,0
1,48.59646377830932,73.89685619272157,64-18-6,0
2,57.05165030848278,85.29486084962241,123-25-1,0
3,60.13229416474362,83.89891794835044,57-55-6,0
4,43.211567885282804,61.82543921043893,7732-18-5,0
5,76.86138953178148,80.93207978700312,108-32-7,0
6,60.898024125631885,87.59547427260351,108-75-8,0
7,54.07894866745428,77.68893194370304,67-66-3,0
8,62.16116063131063,87.42571888164755,108-94-1,1
9,56.100790322748765,86.14908387696335,107-06-2,1
10,55.28962957085795,83.68632615662423,110-71-4,1
11,56.60449755921054,87.55775062003788,109-69-3,1
12,56.22890763155947,84.80261222988842,591-78-6,1
13,55.024397490086585,86.6074183075978,1634-04-4,1
14,57.91730918341071,86.88190517720003,109-86-4,1
15,55.21104649423025,79.98243937405564,75-85-4,1
16,65.05078231039184,82.88538339970508,108-24-7,2
17,53.05567736599317,85.53415433506059,628-63-7,2
18,68.45857451260736,82.11338622450751,67-68-5,2
19,65.18580093346522,84.00141355357066,127-19-5,2
20,55.342377174505636,86.91087962404863,123-51-3,2
21,59.25734835337568,88.31524027382298,123-92-2,2
22,75.0399660313772,84.3165538038986,100-51-6,2
23,93.40772309468913,80.84032187859486,56-81-5,2
24,72.99606676828857,82.4262709464984,96-49-1,3
25,55.14997385760588,88.99082465184588,98-08-8,3
26,61.93560767628327,83.85339963519937,7226-23-5,3
27,56.717250738672554,81.77293540532098,75-65-0,3
28,59.56755129553715,88.00906988191723,110-19-0,3
29,56.09255970134794,87.69162274362424,96-47-9,3
30,56.853257133417124,88.89499066061653,71-43-2,3
31,51.91288563707142,82.85757948769763,71-36-3,3
32,44.931405195764185,79.59633450105513,75-15-0,4
33,60.2766104053381,83.82795706475822,108-90-7,4
34,59.39192567733566,83.28247492642845,98-82-8,4
35,65.31811674258222,82.71721009027509,108-93-0,4
36,59.022519904597395,75.77329698366368,120-92-3,4
37,52.98191555263276,83.69161306009633,75-09-2,4
38,55.47467206935791,85.47404905729647,123-91-1,4
39,62.075188135324694,75.81698623015562,107-21-1,4
