NAME,conversion,de,solvent,batch
TYPE,DATA,DATA,DATA,METADATA
0,78.76889565678022,85.10385620502635,126-33-0,0
1,56.51213749840416,88.98818493639153,123-51-3,0
2,94.97171578202949,79.0407548060347,56-81-5,0
3,53.55658104162772,83.35704818435238,110-54-3,0
4,60.84898605682265,87.65907142307104,108-94-1,1
5,48.038532132765795,77.2631057572101,67-64-1,1
6,51.04477233461838,77.49951438833122,78-93-3,1
7,50.379221876669426,79.24373014605209,79-20-9,1
8,57.35455060372737,82.14619049246895,123-86-4,2
9,66.79465203104701,80.94715266376927,67-68-5,2
10,69.21325592371007,82.66128667597158,111-70-6,2
11,82.43462014226252,84.55034143186987,111-87-5,2
12,50.426552879404355,78.51467153721009,67-66-3,3
13,60.52673970252468,83.23600893690264,123-92-2,3
14,59.41847650349948,82.9195854847373,57-55-6,3
15,57.57123877643004,85.73621119745131,628-63-7,3
16,60.85185032819854,84.20564006250568,100-66-3,4
17,56.36054238233479,84.30476332038114,107-06-2,4
18,55.48960854122281,82.27535899725778,110-71-4,4
19,68.40384042968803,85.08220101397829,96-49-1,4
20,59.81232115189376,87.62809586866297,123-25-1,5
21,58.588846133075556,88.63415555634319,7226-23-5,5
22,55.44742893845707,87.40508198504176,109-69-3,5
23,61.514734612631806,88.11758767035309,108-75-8,5
24,61.66866136019801,85.90591511456445,111-96-6,6
25,61.566154319073746,86.23793228572097,102-76-1,6
26,60.00607345737953,85.03696451929326,591-78-6,6
27,53.61115261170634,86.81575692831984,1634-04-4,6
28,57.63530574028222,82.1496876006036,109-86-4,7
29,53.29881758213928,86.2144609047569,75-85-4,7
30,56.60932381183627,80.54110288774689,75-65-0,7
31,57.95416783873322,82.63382558932827,110-19-0,7
32,56.17321205006977,85.3059851906232,96-47-9,8
33,62.04472508772435,81.22760101402254,108-24-7,8
34,57.23288447895541,83.64305592430622,71-43-2,8
35,70.82324086139367,83.90674600865934,100-51-6,8
36,53.97115844821429,84.77591670921765,71-36-3,9
37,50.51462821278703,75.75254333717807,75-15-0,9
38,58.1061082466467,85.58966957556815,108-90-7,9
39,61.78826785789265,86.70681297017062,98-82-8,9
