NAME,conversion,de,solvent,batch
TYPE,DATA,DATA,DATA,METADATA
0,61.668167831564475,79.94004144343646,107-21-1,0
1,63.0466714164305,83.4087091425607,96-49-1,0
2,59.96336102747577,87.8854482594014,108-75-8,0
3,81.21915466603501,81.9954377245728,111-87-5,0
4,61.026475776855705,88.88377304146798,102-76-1,0
5,40.73922381655621,75.87546681927964,107-31-3,0
6,55.655499788133305,86.35527368069683,71-43-2,0
7,53.127162096500776,69.66871631650405,76-05-1,0
8,77.96208594938454,83.27080652245853,100-51-6,1
9,56.73829819018775,87.28870052491018,108-90-7,1
10,99.27739062401395,74.75334965591168,56-81-5,1
11,54.042858155977505,84.50385030431602,107-06-2,1
12,56.76786011366229,86.14905819747712,110-71-4,1
13,60.885996666923305,82.66502958779101,57-55-6,1
14,60.11050853378369,86.32059202681504,7226-23-5,1
15,58.84711485191385,87.73783879432699,109-69-3,1
16,58.3911238080493,86.28387439373265,111-96-6,2
17,60.044875902682634,88.45664947865512,123-25-1,2
18,58.73725205029288,86.066855761565,591-78-6,2
19,57.89796215705486,87.53784363800993,1634-04-4,2
20,53.66444674411365,81.17378400135104,109-86-4,2
21,54.16545322448829,82.5758691541495,75-85-4,2
22,54.407329290132424,83.03155673240595,75-65-0,2
23,57.69007467086423,84.62912692144643,110-19-0,2
24,52.379695673494254,85.42551412613275,628-63-7,3
25,55.42550868799466,85.4470986078061,123-92-2,3
26,56.08057602560485,86.76461852229981,96-47-9,3
27,58.96467776849063,83.64241309324022,123-51-3,3
28,64.06717370117093,85.2873716527157,108-24-7,3
29,55.65276807680746,85.37576372231307,71-36-3,3
30,46.30121433273268,78.50821108285126,75-15-0,3
31,61.678683135642075,87.03114502630245,98-82-8,3
32,62.54955575628307,78.31991350566939,108-93-0,4
33,66.16866332718759,81.81525404139303,67-68-5,4
34,64.48232188913848,83.5523433585617,872-50-4,4
35,65.85730557122888,83.36876095873876,127-19-5,4
36,59.41608637245652,84.9797231702415,680-31-9,4
37,59.20594299950885,77.40378457790536,120-92-3,4
38,54.78969058765228,85.14395015659262,75-09-2,4
39,56.69505838518181,85.60886620240471,123-91-1,4
