NAME,conversion,de,solvent,batch
TYPE,DATA,DATA,DATA,METADATA
0,81.2431445580596,80.31143121344454,111-87-5,0
1,47.494932241535494,79.1637713678934,75-05-8,0
2,60.72447206957167,84.90223814325115,7226-23-5,0
3,66.33904118622954,84.86729476680084,111-70-6,0
4,62.67422101640713,87.0699926362729,123-25-1,1
5,62.13812319663409,88.38320577465879,108-75-8,1
6,59.58711488131707,87.62410582674718,98-82-8,1
7,60.309010078279016,85.74517059979802,107-06-2,1
8,94.59386608494711,78.29341258455588,56-81-5,2
9,59.200552008921285,78.12167370865967,107-21-1,2
10,53.64147805666826,68.87080094472103,76-05-1,2
11,55.684046848943595,80.28995632296558,79-09-4,2
12,65.65739768204396,87.11704142690037,102-76-1,3
13,58.256339223778326,85.5389644758295,109-69-3,3
14,75.43150294844835,82.39211647637042,100-51-6,3
15,59.68090838551994,85.7333545601457,98-08-8,3
16,56.84894782441102,86.30049477651043,680-31-9,4
17,55.45850690561529,77.43545337557012,110-71-4,4
18,58.02205239774411,84.08293843530352,57-55-6,4
19,69.01985065642937,80.43978485867144,96-49-1,4
20,57.164878342564755,86.41542417075271,591-78-6,5
21,53.450979271541,88.13234840497255,1634-04-4,5
22,54.16769097436087,85.25089421218192,109-86-4,5
23,52.83195446943891,87.47853375746928,75-85-4,5
24,54.13615162045303,85.64215249591595,75-65-0,6
25,61.04741118804282,83.45559900441444,110-19-0,6
26,57.76116759004571,83.3889364851535,96-47-9,6
27,53.933465134360745,84.06458766558336,123-51-3,6
28,61.249787423726055,80.34439936875711,108-24-7,7
29,57.39703646359983,84.12867940052166,71-43-2,7
30,56.99404407311361,82.67530242748114,71-36-3,7
31,48.97358435979076,77.17728131317251,75-15-0,7
32,64.94630846736094,84.38361797495092,108-90-7,8
33,60.26113845710329,81.20464887630948,108-93-0,8
34,58.10630309656819,83.25908277344016,120-92-3,8
35,51.825073008347395,82.70031080529834,75-09-2,8
36,57.99233848478623,87.81128294851761,123-91-1,9
37,54.8529151095481,86.6862078703514,64-17-5,9
38,53.47304950279346,80.59658173865742,141-78-6,9
39,50.580406524768286,85.06492002522317,109-94-4,9
