NAME,conversion,de,solvent,batch
TYPE,DATA,DATA,DATA,METADATA
0,58.98063526185956,85.54998445519698,108-20-3,0
1,97.29308149084203,75.4362913632582,56-81-5,0
2,56.335038601667364,84.27214540040379,108-10-1,0
3,48.279675843765915,83.08054604360446,109-94-4,0
4,80.39392002483851,81.37162235509591,100-51-6,0
5,74.59130741584195,83.11728130332462,96-49-1,0
6,61.766898536859216,82.60123620003426,107-21-1,0
7,50.40984586795943,73.77203826260099,67-66-3,0
8,83.69388327034459,80.33344972577264,111-87-5,1
9,57.86356058492006,83.62151922097884,120-92-3,1
10,54.3672724725835,87.41937508132199,107-06-2,1
11,56.07765395038007,88.04157180536936,110-71-4,1
12,56.693555501698484,82.86637758928764,57-55-6,1
13,59.43680739518301,87.42712975047068,109-69-3,1
14,57.7276403151786,83.38363213781241,591-78-6,1
15,54.635038450402625,86.2281261519518,1634-04-4,1
16,43.15857520412656,77.913580620085,107-31-3,2
17,60.38366434651654,86.87844194923419,100-66-3,2
18,62.90111574926596,84.93077907747556,108-94-1,2
19,51.692643620554065,80.91652588711007,78-93-3,2
20,57.86008730455916,80.92603563298205,123-86-4,2
21,62.62416366969972,83.90121007330126,105-58-8,2
22,63.886490017921055,89.00705555411415,108-75-8,2
23,56.97873534285876,78.27471161698035,109-86-4,2
24,62.87025044902546,81.21505495028957,872-50-4,3
25,65.4889243233036,81.79382663978997,67-68-5,3
26,54.931323305078365,82.06267833444906,75-85-4,3
27,52.762597257358905,90.05144475203201,75-65-0,3
28,56.571206775675215,85.14282683327676,110-19-0,3
29,49.939089193573274,84.34879485149204,96-47-9,3
30,56.69140446453141,85.32252536693457,123-51-3,3
31,62.11403122657121,81.17454369866859,108-24-7,3
32,68.07391045704473,83.91806037149293,111-96-6,4
33,53.87786198597688,82.39288981997721,71-43-2,4
34,54.329507452129135,82.18187491410123,71-36-3,4
35,51.226249080241686,80.39910575696854,75-15-0,4
36,59.34972843020516,86.24723963171809,108-90-7,4
37,62.52603427952746,82.58330511502876,98-82-8,4
38,63.904885073838436,84.16802111235427,108-93-0,4
39,53.047038080611095,82.6217262821521,75-09-2,4
