NAME,conversion,de,solvent,batch
TYPE,DATA,DATA,DATA,METADATA
0,58.59693780194593,80.02820360803145,57-55-6,0
1,54.152134959324954,65.01246680345638,76-05-1,0
2,63.628162752741844,87.25803758690081,123-25-1,0
3,64.94516854503705,82.25632059697054,96-49-1,0
4,66.20660608541235,86.33394184511977,102-76-1,1
5,57.8957598389313,85.62632844506533,107-06-2,1
6,60.49213282132147,81.20159036282962,110-71-4,1
7,58.67618404458406,81.25181294598524,7226-23-5,1
8,80.73688214572609,84.9004473156048,126-33-0,2
9,95.93255255963425,76.16829833483152,56-81-5,2
10,54.80999730487464,87.80948830473298,109-69-3,2
11,59.68644877771969,87.08889666826697,108-75-8,2
12,55.63792865955332,85.25498371819117,108-20-3,3
13,54.277241005352266,83.00483384531657,110-19-0,3
14,59.76593492319861,85.74166300663168,111-96-6,3
15,56.46444037182217,85.36739457360089,105-58-8,3
16,48.09973604976434,75.60202689964703,75-05-8,4
17,53.11674751973503,84.59091221564965,75-09-2,4
18,58.68019192776305,84.15162243373653,108-90-7,4
19,60.09106578567968,84.5468941635301,98-08-8,4
20,55.66073647922803,81.18182305914966,591-78-6,5
21,54.268881232453715,81.8131488545196,1634-04-4,5
22,58.369919285748296,86.4257182007124,109-86-4,5
23,57.84346339596177,82.55367775723724,75-85-4,5
24,55.908011965244604,86.75068770280045,75-65-0,6
25,52.85932558534864,84.55483567081802,96-47-9,6
26,51.33853970706824,85.28093728976597,123-51-3,6
27,68.7893454254188,83.01043818100021,108-24-7,6
28,56.931216503014014,81.91001196916291,71-43-2,7
29,78.09821444035859,80.70901789968576,100-51-6,7
30,54.766164206654864,80.48630532462025,71-36-3,7
31,47.7711004771757,78.23931154407423,75-15-0,7
32,57.7128450289685,83.72108130674263,98-82-8,8
33,63.66050332066993,80.29134684395528,108-93-0,8
34,59.46344590440727,85.15793694433847,120-92-3,8
35,59.613304564440924,87.82991969401446,123-91-1,8
36,77.76849432547836,80.18844612551148,111-87-5,9
37,61.44544787496651,81.53534121201783,107-21-1,9
38,53.837527088243895,86.01531705864306,64-17-5,9
39,56.10735103238851,81.82701454810304,141-78-6,9
