NAME,conversion,de,solvent,batch
TYPE,DATA,DATA,DATA,METADATA
0,73.80202470290013,87.43930505126765,100-51-6,0
1,53.40792429838178,83.53819759840029,110-82-7,0
2,91.22832787248761,75.74136932829202,56-81-5,0
3,59.980264443090626,86.07090729647678,123-25-1,0
4,63.69016029284125,79.33449918385361,102-76-1,1
5,50.25474616856042,66.5701245437602,76-05-1,1
6,48.63510841677441,78.36272926252147,75-05-8,1
7,53.123151128534424,84.79206115078543,64-17-5,1
8,54.34040662029524,81.89857449830943,142-82-5,2
9,49.15833512200187,74.86875313758745,64-18-6,2
10,56.61043570470772,86.16540930329982,107-06-2,2
11,57.69364957399198,83.02802890593172,110-71-4,2
12,67.28033478946907,83.98950097715915,67-68-5,3
13,67.02793734634614,81.80070292075831,7226-23-5,3
14,68.79967819508732,81.62317543102041,96-49-1,3
15,59.61150709384937,84.23702980923935,57-55-6,3
16,78.6196017343704,83.88899906658762,111-87-5,4
17,51.525167966734365,83.88370389708474,109-69-3,4
18,62.886085233270805,87.45345770610382,108-75-8,4
19,58.13445623193269,85.74422371067404,591-78-6,4
20,55.045550114055004,85.52467357897528,1634-04-4,5
21,53.36732864596796,87.68320188259833,109-86-4,5
22,58.989542252138975,84.28679316976098,75-85-4,5
23,54.811085433733076,85.09505099916538,75-65-0,5
24,58.298923647325026,84.49797885073542,110-19-0,6
25,55.94468912954186,82.48395600898202,96-47-9,6
26,55.95418468311133,87.18764080973631,123-51-3,6
27,62.067640971483335,86.22860820729068,108-24-7,6
28,55.36796438641987,86.13702036309915,71-43-2,7
29,54.85025500559141,84.45193436710885,71-36-3,7
30,49.662055088067525,78.64945100983527,75-15-0,7
31,58.33520795194107,83.51991196323304,108-90-7,7
32,58.929846486972885,83.95465128191911,98-82-8,8
33,64.35056081235814,79.41350178245256,108-93-0,8
34,57.76402282651276,83.5418227025628,120-92-3,8
35,55.8793384611009,84.30994891500518,75-09-2,8
36,60.546155968287366,84.09963747953259,123-91-1,9
37,60.44726483503685,77.9290153998295,107-21-1,9
38,52.14887502727922,84.82096308811903,141-78-6,9
39,48.29604326960981,80.32098467246901,109-94-4,9
