NAME,conversion,de,solvent,batch
TYPE,DATA,DATA,DATA,METADATA
0,97.66364885302585,78.94590085465579,56-81-5,0
1,64.93047823130617,88.42574377765963,102-76-1,0
2,80.74691663850102,83.1384227691609,111-87-5,0
3,52.91459379496566,77.13118594573503,64-18-6,0
4,76.10682634479757,85.5968180816207,100-51-6,0
5,59.915457111609534,82.27627542502451,67-68-5,0
6,51.98910311385727,84.22248382669159,109-66-0,0
7,60.2514408091855,85.41463248469616,7226-23-5,0
8,53.77526539504681,84.3804343805897,107-06-2,1
9,51.11014969627428,80.35425053979581,110-71-4,1
10,59.19022867677513,82.13400077672553,57-55-6,1
11,69.81264747900372,82.38444907840008,96-49-1,1
12,52.39374375634929,86.64560493261384,109-69-3,1
13,64.65478436261465,85.91150850219002,108-75-8,1
14,56.93719451176207,81.60601384301175,591-78-6,1
15,52.76370877514068,86.09411649749363,1634-04-4,1
16,53.79457885866344,90.43026808268897,680-31-9,2
17,56.64771672773317,86.6821532156272,109-86-4,2
18,53.832197338275336,83.2287155454827,75-85-4,2
19,48.800420559182086,83.06531823239881,75-65-0,2
20,59.616537641148696,86.52673828239314,110-19-0,2
21,54.88144448904421,84.95916334958007,96-47-9,2
22,55.72633261884275,82.92597856956685,123-51-3,2
23,58.982505079678724,85.28475080322106,108-24-7,2
24,67.44928460645858,80.9392616520435,111-70-6,3
25,55.55368465816602,84.19586006266087,71-43-2,3
26,51.750020432704396,81.78146502791517,71-36-3,3
27,48.31761084934563,76.01486337262857,75-15-0,3
28,57.964086447771685,84.38544009915314,108-90-7,3
29,62.97004943272169,86.20409239458627,98-82-8,3
30,63.791319232753416,79.06019182862296,108-93-0,3
31,63.36236738788517,80.54973016394977,120-92-3,3
32,51.747219674729216,87.47070061327462,75-09-2,4
33,64.3985355807826,84.35149748838958,123-25-1,4
34,54.71317966424697,86.6801424502786,123-91-1,4
35,61.15378717335871,80.03362094958514,107-21-1,4
36,53.63958011575236,87.13984033927026,64-17-5,4
37,55.06087494968989,83.15859392851614,141-78-6,4
38,47.84760876044678,84.39069309926505,109-94-4,4
39,54.324704335797094,80.29184004015806,142-82-5,4
