NAME,conversion,de,solvent,batch
TYPE,DATA,DATA,DATA,METADATA
0,61.93452990477982,81.90046510666636,108-24-7,0
1,81.06557599824808,79.31971518037523,111-87-5,0
2,83.44938808610561,84.92313897610686,126-33-0,0
3,54.74026374984338,78.43196300317354,67-66-3,0
4,62.513873194331126,78.89923893084986,107-21-1,0
5,82.6201715182139,83.21010560425111,111-87-5,0
6,46.57777223183744,78.27274495358819,64-18-6,0
7,50.55559362955456,76.73202796415838,75-05-8,0
8,59.047174374666426,83.61449992882251,680-31-9,1
9,63.964669651808435,83.7299393587842,102-76-1,1
10,98.41282931289072,76.73709789952072,56-81-5,1
11,57.14022556663241,86.94212627349816,107-06-2,1
12,52.749658234370045,85.0948269431205,110-71-4,1
13,61.947242420181034,80.3044000339393,57-55-6,1
14,58.07984968767985,90.83756500207498,7226-23-5,1
15,67.6966803698654,85.8902553868586,96-49-1,1
16,56.076875630630376,86.00129999199385,109-69-3,2
17,62.184841918219256,86.44863201553382,108-75-8,2
18,55.25030630917593,85.43060512251473,591-78-6,2
19,52.50608885290944,81.7703604934837,1634-04-4,2
20,56.421067304319024,84.39176531188943,109-86-4,2
21,54.19741421268701,81.13833006511149,75-85-4,2
22,56.33210588440048,81.74672967440884,75-65-0,2
23,59.72450076915164,86.39947778801425,110-19-0,2
24,54.72263180256934,83.884451716725,96-47-9,3
25,53.97410488289397,86.11194294892584,123-51-3,3
26,56.80328258502975,83.17958989999671,71-43-2,3
27,78.79020080748288,85.8980296522081,100-51-6,3
28,55.50026061456584,82.92145238105849,71-36-3,3
29,50.37744360199607,78.11947211713598,75-15-0,3
30,62.253070504100876,86.27281607283427,108-90-7,3
31,60.615332425791046,84.18019439969825,98-82-8,3
32,61.62582545415534,81.4930968912161,111-96-6,4
33,70.60058876250373,82.98666505761898,872-50-4,4
34,62.78002102488816,89.76569677643582,123-25-1,4
35,59.09010915485507,84.18602523056713,98-08-8,4
36,62.55922192259312,84.23256128786602,108-93-0,4
37,59.16260006250801,84.34684439847472,120-92-3,4
38,51.73851757897896,81.66204302852454,75-09-2,4
39,54.451884029378675,85.65521195651783,123-91-1,4
