NAME,conversion,de,solvent,batch
TYPE,DATA,DATA,DATA,METADATA
0,51.21796473355534,87.40946105293142,1634-04-4,0
1,53.24896672697528,81.66076780038344,75-52-5,0
2,74.74046187242163,86.99600328346372,100-51-6,0
3,47.0212382139419,78.09258329277819,75-05-8,0
4,97.80417003994523,76.1547325238459,56-81-5,0
5,65.14296974156328,87.19246077176803,102-76-1,0
6,81.19262789456914,80.24456585989822,111-87-5,0
7,55.88743281301763,81.0120226338019,79-09-4,0
8,49.79893145950134,77.23024367210057,75-15-0,1
9,51.37544453793345,84.8515604739947,107-06-2,1
10,57.35944320440196,84.4020895190466,110-71-4,1
11,58.97391464505752,84.82835120467949,57-55-6,1
12,62.86507385091965,85.13205856792258,7226-23-5,1
13,67.67287075336877,79.74027820109981,96-49-1,1
14,56.6151351010232,84.09996544915444,109-86-4,1
15,52.74479387586776,84.88104640576132,75-85-4,1
16,56.58650053950183,88.9835298261217,109-69-3,2
17,61.903594846612194,88.72091297721224,108-75-8,2
18,57.14057308253747,86.07315995821135,591-78-6,2
19,55.29689582098034,83.41594939878532,75-65-0,2
20,59.31799328126065,83.53825009796071,110-19-0,2
21,55.25238894931793,83.67530763059717,96-47-9,2
22,54.30353511688871,85.23782933816257,123-51-3,2
23,59.78383593950792,80.85102790998646,108-24-7,2
24,55.21474678734757,84.01326267683054,71-43-2,3
25,56.79604668369831,80.76905518964088,71-36-3,3
26,57.42124663591773,86.42619987847341,108-90-7,3
27,61.463239627491184,84.61332867071289,98-82-8,3
28,63.99275287698172,81.78373907460129,108-93-0,3
29,58.259398642371686,85.18870801628941,120-92-3,3
30,53.499137585359456,87.1417771305103,75-09-2,3
31,60.7336118972758,83.77152245542099,123-25-1,3
32,52.00397433225997,83.11565382220212,123-91-1,4
33,56.19479873491873,77.01453650873825,107-21-1,4
34,54.86798810055406,85.18003758979702,64-17-5,4
35,53.73132562791782,82.72997190093186,141-78-6,4
36,53.10690997057258,82.98174422994283,109-94-4,4
37,48.661787991946056,75.00779772066895,64-18-6,4
38,53.963181637670374,78.40859842838363,142-82-5,4
39,66.27664934185904,87.04744242203478,111-70-6,4
