NAME,conversion,de,solvent,batch
TYPE,DATA,DATA,DATA,METADATA
0,97.5518685824034,82.5000136826101,56-81-5,0
1,74.87066908188713,81.72077780404227,100-51-6,0
2,59.83077654301857,85.67909651931403,109-86-4,0
3,46.13660298857866,82.11671093321048,60-29-7,0
4,41.40272552719223,65.03694467740345,7732-18-5,1
5,50.42197654325599,65.72687612812524,76-05-1,1
6,50.905557303777776,81.17769144977346,75-85-4,1
7,55.94399229565553,85.33356941475715,109-99-9,1
8,50.36991920965326,74.05613608910508,75-15-0,2
9,57.97932051143962,80.99983761616394,107-06-2,2
10,58.477280736884566,81.72180098828346,109-66-0,2
11,55.61061205640413,79.91580922732872,79-20-9,2
12,53.48828053835568,88.06836059754708,1634-04-4,3
13,59.80593912966044,82.04540586913072,108-90-7,3
14,57.51061215735254,84.24758648209017,110-71-4,3
15,61.977845786023465,80.07410555518166,57-55-6,3
16,62.4291171071745,77.33021592920191,108-24-7,4
17,51.84185140932653,87.5149336416347,75-52-5,4
18,54.73683846272722,85.1802682705236,109-69-3,4
19,54.14206701034997,83.1916095532828,75-65-0,4
20,55.6764818763002,84.46773016592208,98-08-8,5
21,55.76271945516178,84.61923406876446,108-20-3,5
22,58.14274949778804,85.6582709005052,7226-23-5,5
23,67.0665987243646,82.20959328351168,96-49-1,5
24,61.833737568014264,87.86276111247834,98-82-8,6
25,53.37234037000247,83.82113733077082,96-47-9,6
26,58.92889988072064,87.59042173395953,105-58-8,6
27,56.26792290468177,82.0613247420196,108-94-1,6
28,62.96625482068781,84.94142596796767,108-75-8,7
29,59.8691748614448,83.93620048918805,591-78-6,7
30,63.7230012928521,84.93516844220568,110-19-0,7
31,56.653333418744594,88.22401959412936,123-51-3,7
32,63.58544118587204,86.14849822021769,872-50-4,8
33,56.201102584786554,87.0830223189238,71-43-2,8
34,53.11933481052916,84.06237400533489,71-36-3,8
35,62.98851830515786,85.77707988616523,108-93-0,8
36,66.08493270680374,79.28601109990078,127-19-5,9
37,56.996942174205756,82.76255176862,120-92-3,9
38,52.92328383002429,85.3471595431883,75-09-2,9
39,55.311898485372794,81.61572342792908,123-91-1,9
