NAME,conversion,de,solvent,batch
TYPE,DATA,DATA,DATA,METADATA
0,60.913892024507454,78.98153624768139,107-21-1,0
1,60.76024170345238,87.41363203556767,7226-23-5,0
2,52.82918066491837,83.35500931369782,142-82-5,0
3,70.12352213441802,83.72862989782467,96-49-1,0
4,46.38131253746932,82.58277597545458,75-05-8,1
5,57.071066294641184,83.84339108783068,109-60-4,1
6,62.879785064606565,85.17834037673754,123-25-1,1
7,60.09677000657132,80.59118089062119,591-78-6,1
8,65.9111084536531,82.42441527760333,127-19-5,2
9,52.85143094209098,82.11725748937212,107-06-2,2
10,54.61739040343721,84.49744527605525,110-71-4,2
11,60.99480622506802,84.30960152612919,57-55-6,2
12,94.06547012403769,80.39760387030893,56-81-5,3
13,57.20794794662377,85.72666936691265,109-69-3,3
14,59.443623857673195,87.84709347475923,108-75-8,3
15,54.9466252365341,87.79252654384597,1634-04-4,3
16,85.02159769429558,83.69026840235112,126-33-0,4
17,62.11667366001252,83.51807830812602,872-50-4,4
18,57.89966238640795,89.77424060126913,109-86-4,4
19,56.3886683081644,84.79190116659082,75-85-4,4
20,77.30207788545142,86.0205309796895,100-51-6,5
21,55.9559492596452,80.16446545822257,75-65-0,5
22,58.3052944880596,86.51440005874221,110-19-0,5
23,53.75168807122713,84.30104213290971,96-47-9,5
24,64.46751246940948,86.8196611537094,102-76-1,6
25,53.400809165672506,85.93506519389915,123-51-3,6
26,62.819692132665615,80.48473117240007,108-24-7,6
27,53.713922393208925,84.62667931413534,71-43-2,6
28,56.17301135921655,85.25854509988878,71-36-3,7
29,51.83729587363371,77.40097891309247,75-15-0,7
30,57.70615997292356,86.33727403648817,108-90-7,7
31,61.83765993724335,82.79026293304041,98-82-8,7
32,60.95954635497404,83.54546450833054,680-31-9,8
33,60.539699465408546,83.60378410229752,108-93-0,8
34,58.492958201846406,80.83112530716625,120-92-3,8
35,52.64513584738555,81.80977100645222,75-09-2,8
36,54.90082599744505,82.63913182987645,123-91-1,9
37,59.144706397268365,85.66768609792629,64-17-5,9
38,52.570695831360545,84.23686162665916,141-78-6,9
39,49.394600761203705,80.40794689246492,109-94-4,9
