cas_number,solubility
624-92-0,-4.37472919
131-11-3,-2.54711293
108-59-8,-1.42616633
77-78-1,-2.03075073
75-18-3,-4.24516019
1467-79-4,-1.09319138
123-91-1,-2.35630122
693-65-2,-7.02890745
101-84-8,-4.69285899
101-81-5,-4.93166524
111-43-3,-5.4663478
142-84-7,-1.97732386
112-40-3,-9.7096404
107-21-1,0
75-08-1,-2.19575861
64-17-5,0
103-73-1,-4.86928677
97-64-3,0
141-97-9,-1.68426089
141-78-6,-2.97969398
93-89-0,-3.7980743
105-54-4,-3.97407574
105-39-5,-0.67736966
105-56-6,0
109-94-4,-1.45059647
123-66-0,-4.42998095
542-85-8,-4.34382649
625-58-1,-3.96279813
105-37-3,-3.6193576
118-61-6,-3.42503204
542-90-5,-1.32191734
100-41-4,-5.94954636
536-74-3,0.92106146
462-06-6,-4.627253
75-12-7,0
64-18-6,0
110-00-9,-2.26260249
98-01-1,0.87527784
111-71-7,-3.82556248
142-82-5,-9.69992162
111-70-6,0
544-76-3,-9.73225708
392-56-3,-7.12880036
680-31-9,-1.86373716
110-54-3,-9.69345649
628-73-9,-2.4273172
142-62-1,0
142-92-7,-4.06872248
111-26-2,-0.3096892
591-50-4,-4.55799453
75-03-6,-4.62890858
74-88-4,-3.66734055
78-79-5,-6.24457056
75-31-0,0.68696117
119-65-3,-2.27632987
119-36-8,-2.95763923
96-33-3,-2.66421462
79-20-9,-2.46200002
93-58-3,-3.35988034
623-42-7,-3.50661155
110-42-9,-4.88293256
111-82-0,-5.21922446
107-31-3,-0.8496573
106-70-7,-4.05093432
111-11-5,-4.49070436
624-24-8,-3.79310388
554-12-1,-3.12016104
556-64-9,-0.58766219
598-99-2,-3.87898376
78-78-4,-9.64645614
108-87-2,-9.56648872
96-37-7,-9.51018272
100-68-5,-4.24638943
110-91-8,1.15157067
632-22-4,-1.79706881
91-66-7,-5.58053047
121-69-7,-4.88078994
98-94-2,-5.29602606
79-16-3,0
100-61-8,0
100-60-7,-1.58721776
123-39-7,0
626-67-5,-4.55488879
91-20-3,-4.90604383
7697-37-2,0
98-95-3,-2.65498936
79-24-3,-1.25630616
75-52-5,0
111-84-2,-9.70105072
143-08-8,0
111-65-9,-9.69160218
124-07-2,0
111-86-4,-0.66706876
142-68-7,-3.8637978
75-21-8,-2.28607927
96-48-0,-1.38157609
76-01-7,0
110-62-3,-3.24340897
109-66-0,-9.70106703
110-59-8,-2.12979086
109-52-4,0
628-63-7,-3.96832341
638-49-3,-2.3100017
110-58-7,0.42130825
355-02-2,-10.59480889
307-34-6,-10.70476235
108-95-2,0
122-79-2,-2.79483382
103-72-0,-4.43522953
100-63-0,0
103-71-9,-4.10394103
